BookId,CollectionURL,Title,Keyword,Description,LanguageId,Subject_0,Author_0,Author_1,Author_2,Publisher,ExternalPublisher,CollectionType,PublicationYear,PublishYear,Subject_1,PublisherCity,Location_0,Location_1,Location_2,Location_3,SubjectId_0,PublisherId
23005386-5BD9-4466-A5F9-18F4B6662EFE,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/23005386-5BD9-4466-A5F9-18F4B6662EFE.png,Data Science From Scratch: First Principles with Python,Introduction to Data Science,"Data science libraries, frameworks, modules, and toolkits are great for doing data science, but they're also a good way to dive into the discipline without actually understanding data science. With this updated second edition, you'll learn how many of the most fundamental data science tools and algorithms work by implementing them from scratch.If you have an aptitude for mathematics and some programming skills, author Joel Grus will help you get comfortable with the math and statistics at the core of data science, and with hacking skills you need to get started as a data scientist. Today's messy glut of data holds answers to questions no one's even thought to ask. This book provides you with the know-how to dig those answers out.",English,Data mining,"Grus, Joel",NA,NA,EBSCO,O'Reilly Media,NA,0,0.0,Data mining--Mathematics,NA,NA,NA,NA,NA,0933262E-8145-4FAF-9FDD-F07B22803176,EBSCO
8BC68CCC-DD97-4A35-A938-976AF38BFF86,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/8BC68CCC-DD97-4A35-A938-976AF38BFF86.png,The Live-Streaming Handbook: How to Create Live Video for Social Media on Your Phone and Desktop,Social Media Broadcasting,"The Live-Streaming Handbook will teach you how to present live-video shows from your phone and stream them straight to Facebook and Twitter. With this book and your favourite social media apps, you will be able to run your own TV station for your home or work. Peter Stewart, an experienced TV and radio presenter, producer and author, now shares the training he's given to professional broadcasters with you! From structuring and developing a show, to establishing an effective online persona and getting more people to watch you. The book includes dozens of tried and tested formats for your live-video show, alongside case studies highlighting how businesses and professionals are using live-streaming in their brand and marketing strategies. Also included are: a foreword by Al Roker (NBC's The Today Show); practical steps for using popular live-streaming apps, such as Facebook Live and Twitter; nearly 80 colour images of live-streaming events, screenshots and gadgets; a detailed walk-through of how to successfully present and produce your live-streaming show; advice on analysing and exploiting viewer metrics to increase followers; more than 130 quotes of real-world advice from expert producers of online media content; over 700 links to online case studies, articles, research and background reading. With this extensive manual you will gain a competitive edge in the world of online live-streaming. This book is invaluable to entrepreneurs, professionals and students working in journalism, public relations, marketing and digital media, as well as general readers interested in live-streaming at home.",English,Streaming technology (Telecommunications)--Handbook,Peter Stewart,NA,NA,EBSCO,Routledge,E-Book,0,0.0,NA,NA,NA,NA,NA,NA,10F68FF5-351A-4947-BE2E-23BBAD235091,EBSCO
0FD12CFE-E22C-48A6-9EF5-78172B68B0FF,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/0FD12CFE-E22C-48A6-9EF5-78172B68B0FF.png,"AI for Games, Third Edition",AI; games,"AI is an integral part of every video game. This book helps professionals keep up with the constantly evolving technological advances in the fast growing game industry and equips students with up-to-date information they need to jumpstart their careers. This revised and updated Third Edition includes new techniques, algorithms, data structures and representations needed to create powerful AI in games. Key Features A comprehensive professional tutorial and reference to implement true AI in games Includes new exercises so readers can test their comprehension and understanding of the concepts and practices presented Revised and updated to cover new techniques and advances in AI Walks the reader through the entire game AI development process",English,Artificial intelligence,Ian Millington,NA,NA,EBSCO,CRC Press,E-Book,0,0.0,Computer games--Programming,NA,NA,NA,NA,NA,C5D19943-A9AF-4AFE-BACA-7159A89244EC,EBSCO
7B4FDA11-BFA7-4DAF-968F-497EB9A5700E,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/7B4FDA11-BFA7-4DAF-968F-497EB9A5700E.png,Machine Learning: A Bayesian and Optimization Perspective,Machine Learning,"Machine Learning: A Bayesian and Optimization Perspective, 2nd edition, gives a unified perspective on machine learning by covering both pillars of supervised learning, namely regression and classification. The book starts with the basics, including mean square, least squares and maximum likelihood methods, ridge regression, Bayesian decision theory classification, logistic regression, and decision trees. It then progresses to more recent techniques, covering sparse modelling methods, learning in reproducing kernel Hilbert spaces and support vector machines, Bayesian inference with a focus on the EM algorithm and its approximate inference variational versions, Monte Carlo methods, probabilistic graphical models focusing on Bayesian networks, hidden Markov models and particle filtering. Dimensionality reduction and latent variables modelling are also considered in depth. This palette of techniques concludes with an extended chapter on neural networks and deep learning architectures. The book also covers the fundamentals of statistical parameter estimation, Wiener and Kalman filtering, convexity and convex optimization, including a chapter on stochastic approximation and the gradient descent family of algorithms, presenting related online learning techniques as well as concepts and algorithmic versions for distributed optimization. Focusing on the physical reasoning behind the mathematics, without sacrificing rigor, all the various methods and techniques are explained in depth, supported by examples and problems, giving an invaluable resource to the student and researcher for understanding and applying machine learning concepts. Most of the chapters include typical case studies and computer exercises, both in MATLAB and Python. The chapters are written to be as self-contained as possible, making the text suitable for different courses: pattern recognition, statistical/adaptive signal processing, statistical/Bayesian learning, as well as courses on sparse modeling, deep learning, and probabilistic graphical models. New to this edition: Complete re-write of the chapter on Neural Networks and Deep Learning to reflect the latest advances since the 1st edition. The chapter, starting from the basic perceptron and feed-forward neural networks concepts, now presents an in depth treatment of deep networks, including recent optimization algorithms, batch normalization, regularization techniques such as the dropout method, convolutional neural networks, recurrent neural networks, attention mechanisms, adversarial examples and training, capsule networks and generative architectures, such as restricted Boltzman machines (RBMs), variational autoencoders and generative adversarial networks (GANs). Expanded treatment of Bayesian learning to include nonparametric Bayesian methods, with a focus on the Chinese restaurant and the Indian buffet processes. Presents the physical reasoning, mathematical modeling and algorithmic implementation of each method Updates on the latest trends, including sparsity, convex analysis and optimization, online distributed algorithms, learning in RKH spaces, Bayesian inference, graphical and hidden Markov models, particle filtering, deep learning, dictionary learning and latent variables modeling Provides case studies on a variety of topics, including protein folding prediction, optical character recognition, text authorship identification, fMRI data analysis, change point detection, hyperspectral image unmixing, target localization, and more",English,Machine learning,Sergios Theodoridis,NA,NA,EBSCO,Academic Press,E-Book,0,0.0,NA,NA,NA,NA,NA,NA,C1FD426D-0406-4F82-BDB9-F89C69637F53,EBSCO
D707145F-A033-49BF-A85D-C78A5F00ABDB,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/D707145F-A033-49BF-A85D-C78A5F00ABDB.png,Mathematical and Statistical Methods in Food Science and Technology,Data; Statistical Analysis,"Mathematical and Statistical Approaches in Food Science and Technology offers an accessible guide to applying statistical and mathematical technologies in the food science field whilst also addressing the theoretical foundations. Using clear examples and case-studies by way of practical illustration, the book is more than just a theoretical guide for non-statisticians, and may therefore be used by scientists, students and food industry professionals at different levels and with varying degrees of statistical skill.",English,Food--Analysis--Stistical methods,Daniel Granato,Gastón Ares,NA,EBSCO,Wiley-Blackwell,E-Book,0,0.0,Food contamination--Research--Statistical methods,NA,NA,NA,NA,NA,4D9E26A1-A85E-4E3B-8E1C-C6552D59786D,EBSCO
1e0293fb-4188-405c-ba67-72c3c34b6714,NA,Real analysis : a first course,Analysis,NA,ENG,COGNITIVE ANALYSIS,"Gordon, Russell A.",NA,NA,Addison-Wesley,NA,Textbook,2002,2002.0,NA,NA,Bekasi,Kijang,Anggrek,Alam Sutra Main Campus,16447aad-8ff1-45ef-bb88-5905014107eb,ADWES
66FE1DD1-3216-4F88-822B-E205F17CBDF9,https://storagelkcdev.blob.core.windows.net/file-upload/ebook/66FE1DD1-3216-4F88-822B-E205F17CBDF9.png,English for Presentations at International Conferences,Seminar on Research,"Good presentation skills are key to a successful career in academia. This guide provides examples taken from real presentations given both by native and non-native academics covering a wide variety of disciplines.The easy-to-follow guidelines and tips will teach you how to: plan, prepare and practice a well-organized, interesting presentationavoid errors in English by using short easy-to-say sentencesimprove your English pronunciation and intonationgain confidence, and overcome nerves and embarrassmenthighlight the essential points you want your audience to rememberattract and retain audience attentiondeal with questions from the audienceThis new edition contains several additional features, including stimulating factoids and discussion points both for self-study and in-class use. New chapters also cover:learning from talks on TEDnetworking with potential collaborators, professors, fellow researchersinteracting successfully with non-native audiencespostersEAP teachers will find this book to be a great source of tips for training students, and for preparing both instructive and entertaining lessons.Other books in the series cover: writing research papers; English grammar, usage, and style; academic correspondence; interacting on campus; plus exercises books and a teacher's guide.Please visit http://www.springer.com/series/13913 for a full list of titles in the series.Adrian Wallwork is the author of more than 30 ELT and EAP textbooks. He has trained several thousand PhD students and academics from 35 countries to write research papers, prepare presentations, and communicate with editors, referees and fellow researchers.",English,English language--Business English,Adrian Wallwork,NA,NA,EBSCO,Springer,E-Book,0,0.0,English language,NA,NA,NA,NA,NA,13D131C8-A457-4AF7-8EBE-FC9001F81EE7,EBSCO
6548c3e9-e8e9-4467-b005-4a6e644ec118,NA,Contemporary visual merchandising and environmental design,NA,NA,NA,NA,NA,NA,NA,Test publisher,NA,Multimedia,0,0.0,NA,NA,Anggrek,JWC,NA,NA,NA,NA
504728d8-5a04-488a-96cb-e4edad2690ef,NA,Deutsche Telekom in 2016: Driving Disruption from Within the Industry,3333,"<p>In 2016, Deutsche Telekom’s CEO Tim Höttges was steering the €69 billion telecom incumbent in new directions and seeking to disrupt the industry from within. The company’s tagline was “Life is For Sharing.” Its goal was to be Europe’s leading digital communication services company that was most trusted by consumers and business customers for safely sharing content</p>",ENG,ACCOUNTING FIRMS,"Schifrin, Debra",NA,NA,Harvard Business School Press,NA,Case Study,3333,2016.0,NA,Stanford,JWC,NA,NA,NA,ed20b3c8-0996-4351-9b12-02a01b96dc98,HBSP
4229ff84-237b-498d-8806-fa72d38154b2,NA,Toto Media : majala triwulan intern PT Surya TOTO Indonesia,NA,NA,NA,Advertising,NA,NA,NA,Sine Nomine,NA,Periodical Literature,2007,2007.0,NA,NA,Anggrek,NA,NA,NA,NA,Sine Nomine
64c4589e-a898-4bf1-b08e-155b93382b86,https://storagelkcdev.blob.core.windows.net/file-upload/migrate-cover/book_intmdt-accounting_skousen.jpg,Readers Digest (SG),NA,NA,NA,Umum/Populer,NA,NA,NA,Readers digest asia,NA,Periodical Literature,2016,2016.0,NA,NA,NA,NA,NA,NA,e4d8d8fd-0d44-4eb0-a455-adb207373548,NA
d51a27e3-9e3d-4768-a9c6-a7f082d686ea,https://storagelkcdev.blob.core.windows.net/file-upload/migrate-cover/book_intmdt-accounting_skousen.jpg,Humaniora,NA,NA,NA,Bahasa dan Sastra,NA,NA,NA,BINUS University,NA,Periodical Literature,2022,2022.0,NA,NA,NA,NA,NA,NA,NA,NA
f7396cf5-3675-4f70-ad42-c27471f6dc6b,https://storagelkcdev.blob.core.windows.net/file-upload/migrate-cover/book_intmdt-accounting_skousen.jpg,International Financing Asia,NA,NA,NA,Keuangan,NA,NA,NA,Sine Nomine,NA,Periodical Literature,2007,2007.0,NA,NA,NA,NA,NA,NA,NA,NA
ffba0ccc-3677-4569-bb9d-850e86ac9d33,https://storagelkcdev.blob.core.windows.net/file-upload/migrate-cover/book_intmdt-accounting_skousen.jpg,National Geographic Indonesia,NA,NA,NA,Umum/Populer,NA,NA,NA,PT. Kompas Media Nusantara,NA,Periodical Literature,2015,2015.0,NA,NA,NA,NA,NA,NA,e4d8d8fd-0d44-4eb0-a455-adb207373548,NA
81a71f06-9f62-40fd-9db4-2c48f4cf5b09,https://storagelkcdev.blob.core.windows.net/file-upload/migrate-cover/book_intmdt-accounting_skousen.jpg,Newsweek Magazine,NA,NA,NA,Umum/Populer,NA,NA,NA,The Newsweek Daily Beast Company,NA,Periodical Literature,2010,2010.0,NA,NA,NA,NA,NA,NA,e4d8d8fd-0d44-4eb0-a455-adb207373548,NA
f58ecce9-322c-432b-b5f7-0819b90e3139,NA,Gatra,NA,NA,NA,Umum/Populer,NA,NA,NA,PT. Era Media Informasi,NA,Periodical Literature,2015,2015.0,NA,Jakarta,JWC,NA,NA,NA,NA,PT. Era Media Informasi
f9dbff7d-ac85-4da5-b2ef-1dfe7c58e1d6,NA,Gatra,NA,NA,NA,Umum/Populer,NA,NA,NA,PT. Era Media Informasi,NA,Periodical Literature,2018,2018.0,NA,Jakarta,Anggrek,NA,NA,NA,NA,PT. Era Media Informasi
aaa0c62b-edcf-4807-869d-85a1ff1ba4de,NA,The Economist,NA,NA,NA,Ekonomi,NA,NA,NA,Sine Nomine,NA,Periodical Literature,2016,2016.0,NA,NA,Anggrek,NA,NA,NA,NA,Sine Nomine
d190df97-a5be-456a-b55a-9ff631b5232c,NA,Newsweek Magazine,NA,NA,NA,Umum/Populer,NA,NA,NA,The Newsweek Daily Beast Company,NA,Periodical Literature,2012,2012.0,NA,NA,Anggrek,NA,NA,NA,NA,NA
360053ae-f277-4cc7-be78-dc3fba95b185,NA,Swa Sembada,NA,NA,NA,Ekonomi,NA,NA,NA,Sine Nomine,NA,Periodical Literature,2008,2008.0,NA,NA,Anggrek,NA,NA,NA,NA,Sine Nomine
c63eba20-3e85-4717-a847-b469d08fb13b,NA,MAJALAH INFO KOMPUTER,NA,NA,NA,Komputer,NA,NA,NA,Sine Nomine,NA,Periodical Literature,2012,2012.0,NA,NA,JWC,NA,NA,NA,NA,Sine Nomine
f2776f8d-748b-40c1-abf3-8e9ff89fc76f,NA,The Economist,NA,NA,NA,Ekonomi,NA,NA,NA,Sine Nomine,NA,Periodical Literature,2015,2015.0,NA,NA,JWC,NA,NA,NA,NA,Sine Nomine
a1b3ee34-e237-4e8e-9650-7ab5c40fb39e,NA,Gatra,NA,NA,NA,Umum/Populer,NA,NA,NA,PT. Era Media Informasi,NA,Periodical Literature,2017,2017.0,NA,Jakarta,JWC,NA,NA,NA,NA,PT. Era Media Informasi
a0c21894-4fdc-4f9c-9c49-a2a271ce58eb,NA,Integritas : Jurnal Antikorupsi,NA,NA,NA,Hukum,NA,NA,NA,Komisi Pemberantasan Korupsi,NA,Periodical Literature,2019,2019.0,NA,Jakarta,JWC,NA,NA,NA,NA,Komisi Pemberantasan Korupsi
6433a3d6-3dd1-4773-88af-0b9a8071f9c1,NA,Digital Camera World,NA,NA,NA,Fotografi,NA,NA,NA,Sine Nomine,NA,Periodical Literature,2014,2014.0,NA,NA,Anggrek,NA,NA,NA,NA,Sine Nomine
26428276-bd21-4f9b-a9dd-5ebe65f3ffa0,https://storagelkcdev.blob.core.windows.net/file-upload/migrate-cover/book_intmdt-accounting_skousen.jpg,Pedagogia : jurnal ilmu pendidikan,NA,NA,NA,Pendidikan,NA,NA,NA,Universitas Pendidikan Indonesia Press,NA,Periodical Literature,2014,2014.0,NA,NA,NA,NA,NA,NA,NA,NA
2c21db94-e00e-4387-9c05-8f5b8585fdfb,NA,The Economist,NA,NA,NA,Ekonomi,NA,NA,NA,Sine Nomine,NA,Periodical Literature,2014,2014.0,NA,NA,JWC,NA,NA,NA,NA,Sine Nomine
520f7846-4f87-4012-88bb-20dc448868ec,NA,Integritas : Jurnal Antikorupsi,NA,NA,NA,Hukum,NA,NA,NA,Komisi Pemberantasan Korupsi,NA,Periodical Literature,2019,2019.0,NA,Jakarta,Anggrek,NA,NA,NA,NA,Komisi Pemberantasan Korupsi
fc1d3ec1-d701-479f-a82c-ad5004de510b,NA,The Economist,NA,NA,NA,Ekonomi,NA,NA,NA,Sine Nomine,NA,Periodical Literature,2014,2014.0,NA,NA,JWC,NA,NA,NA,NA,Sine Nomine
